model;ALL_accuracy;ALL_balanced_accuracy;ALL_f1_score;ALL_precision;ALL_recall;ALL_stdev;BTU_accuracy;BTU_balanced_accuracy;BTU_f1_score;BTU_precision;BTU_recall;BTU_stdev;HEC_accuracy;HEC_balanced_accuracy;HEC_f1_score;HEC_precision;HEC_recall;HEC_stdev;HFF_accuracy;HFF_balanced_accuracy;HFF_f1_score;HFF_precision;HFF_recall;HFF_stdev;SPS_accuracy;SPS_balanced_accuracy;SPS_f1_score;SPS_precision;SPS_recall;SPS_stdev;SSH_accuracy;SSH_balanced_accuracy;SSH_f1_score;SSH_precision;SSH_recall;SSH_stdev
DecisionTree;0.7333333333333334;0.6102178245035388;0.597353215624917;0.6174641235566071;0.6102178245035388;0.08989641778448962;0.5907407407407408;0.5521326302423865;0.5353548982635091;0.5389297735367382;0.5521326302423865;0.05950695781636275;0.7150537634408601;0.6660232631700024;0.6697554731217853;0.7140639131400001;0.6660232631700024;0.05484143411207743;0.5333333333333333;0.5277837592114077;0.5404241413510926;0.5812515032512936;0.5277837592114077;0.09741025917958367;0.7333333333333334;0.7354525862068965;0.7353023625246405;0.7464539341188313;0.7354525862068965;0.0389330413322099;0.37596387724473423;0.30599672863823807;0.3090948180762035;0.32143906073591494;0.30599672863823807;0.033651647462421184
DecisionTree_SMOTETomek;0.6736842105263158;0.5431697931697931;0.5402464853796022;0.5664365550636535;0.5431697931697931;0.07617070830458685;0.562962962962963;0.5132412421589251;0.5178244897512702;0.537348914558137;0.5132412421589251;0.04176851125471632;0.7150537634408601;0.6900642684610077;0.690226036710619;0.7117770906629602;0.6900642684610077;0.05703770990544961;0.5523809523809523;0.611117092544741;0.6147629183105386;0.6370075898270526;0.611117092544741;0.049564691851660195;0.6499999999999999;0.6557112068965517;0.6511113330581139;0.6537149478539764;0.6557112068965517;0.026680658875081843;0.41114216219013616;0.3731671542992298;0.3601155698383041;0.36457770471677337;0.3731671542992298;0.04832008606967065
DecisionTree_SMOTEENN;0.1842105263157895;0.2564247921390778;0.12843395389143952;0.11047834225885411;0.2564247921390778;0.03630354940663171;0.4277777777777778;0.5359924408247579;0.44233746791468437;0.44978248631093076;0.5359924408247579;0.0846996941488629;0.5618279569892473;0.6247052564987348;0.5566549243123285;0.5773717100879685;0.6247052564987348;0.12450733666521588;0.4238095238095238;0.47744999521485304;0.38436302498538905;0.47947996144679106;0.47744999521485304;0.06975440825853771;0.6222222222222222;0.6280531609195402;0.5643173455474592;0.6037185847755371;0.6280531609195402;0.09010526018414237;0.18941158205247632;0.2862483777578117;0.20840325215878927;0.24104710000270804;0.2862483777578117;0.04374230962587633
DecisionTree_OverSampler;0.7035087719298246;0.6061464990036418;0.5950755294689133;0.5994731893911508;0.6061464990036418;0.10292176470210138;0.5537037037037038;0.5326202574525746;0.5399772796673347;0.5641677387096758;0.5326202574525746;0.0412595603610202;0.7096774193548386;0.690752242926156;0.687904644544067;0.7064121303929362;0.690752242926156;0.04681243495803891;0.5412698412698412;0.5799897119341564;0.5847690944983379;0.6035527614007844;0.5799897119341564;0.05102108890581441;0.7277777777777777;0.7291666666666666;0.728247650250892;0.7325647432916149;0.7291666666666666;0.06957270220232056;0.40980955338198005;0.38046897197840596;0.3720123740504877;0.37667014662981974;0.38046897197840596;0.03529850570871316
DecisionTree_SMOTE;nan;nan;nan;nan;nan;nan;0.5333333333333333;0.4952565879242708;0.5015371195700918;0.5362518619316518;0.4952565879242708;0.029109400218309996;0.7311827956989249;0.731625258799172;0.714213636396282;0.7170625915634496;0.731625258799172;0.1052648488162254;0.5682539682539682;0.587490429706192;0.598630210562941;0.6243776134317215;0.587490429706192;0.02593151267297269;0.7166666666666667;0.7209051724137931;0.7178181324633771;0.7225925831362024;0.7209051724137931;0.04733614249695111;0.3862236712725768;0.3750274533293401;0.3664309403822465;0.37417070007187075;0.3750274533293401;0.03215509398687532
DecisionTree_BorderlineSmote;0.7631578947368421;0.6225348725348726;0.6139640001572149;0.629700332101035;0.6225348725348726;0.07714016802430254;0.5740740740740741;0.50392149686357;0.5014990668660532;0.5142316866695749;0.50392149686357;0.08489871129782994;0.7553763440860215;0.7352836726478031;0.7295476498572828;0.7409951509207803;0.7352836726478031;0.0782917386510397;0.5666666666666667;0.6149870801033592;0.6199813133601338;0.6338143872486155;0.6149870801033592;0.03835800005501715;0.6999999999999998;0.7034841954022988;0.7043701099725251;0.7084003496986649;0.7034841954022988;0.0482182704479107;0.424364746674947;0.36422504818731233;0.3663398606292248;0.3816364533921846;0.36422504818731233;0.03524846790714496
DecisionTree_SVMSMOTE;nan;nan;nan;nan;nan;nan;0.5611111111111111;0.5416805010707451;0.5360502432063724;0.5434160079757611;0.5416805010707451;0.04058640685654543;0.8010752688172044;0.7857696399815967;0.7707829211377349;0.7746755018172352;0.7857696399815967;0.0816637337988467;0.5777777777777778;0.604316202507417;0.591001611807616;0.5884467285175545;0.604316202507417;0.06772740447615987;0.6518518518518518;0.6538553639846744;0.6531682651904934;0.6615855427630789;0.6538553639846744;0.0355276073262018;0.4154504994048543;0.3895800216554934;0.38382973608757937;0.39173143309439135;0.3895800216554934;0.03707964517254274
DecisionTree_OverSampler_UnderSampler;0.19824561403508775;0.1695698481412767;0.15699331275431086;0.19379347095356045;0.1695698481412767;0.05674033275516682;0.4944444444444444;0.5200814192582485;0.487941412799524;0.49986366856774983;0.5200814192582485;0.05454727385802074;0.6478494623655914;0.660745197837589;0.6349745275662774;0.6680944685729662;0.660745197837589;0.07846322581774048;0.3904761904761904;0.45201095798641017;0.37846883337876475;0.3983268410125802;0.45201095798641017;0.05534146222486746;0.6833333333333332;0.6864224137931033;0.6865452857000758;0.6896347132873556;0.6864224137931033;0.04262601876148216;0.2981679863375252;0.3195131737584568;0.2829660397016175;0.3049422883517318;0.3195131737584568;0.08568657761333427
DecisionTree_OverSampler_OneSidedSelection;0.3877192982456141;0.2747715247715248;0.26262025882685;0.2993240574696849;0.2747715247715248;0.14324146535144971;0.38518518518518513;0.4350755206852768;0.38238082593960127;0.3899075793902212;0.4350755206852768;0.05851522494423332;0.6478494623655914;0.6095726938118242;0.6048746043975061;0.6469973789826731;0.6095726938118242;0.15080830897762101;0.5380952380952381;0.5802887836156571;0.5480445867899052;0.5653841869108858;0.5802887836156571;0.07010406484245411;0.638888888888889;0.6285919540229884;0.5344649502433635;0.49779815610395023;0.6285919540229884;0.028221752366158686;0.42734047508150913;0.350818032421806;0.3471866170726818;0.36061611449032044;0.350818032421806;0.03288517593179504
DecisionTree_OverSampler_ClusterCentroids;0.26842105263157895;0.23862777434206003;0.22372425247168992;0.285133900317171;0.23862777434206003;0.06528883195920993;0.49074074074074076;0.5035731849451363;0.4885581153771195;0.5074622480066674;0.5035731849451363;0.06556114727726906;0.6693548387096774;0.6662576201978375;0.6465695494449365;0.6563284720453838;0.6662576201978375;0.06166373889382507;0.44285714285714284;0.4929299454493253;0.4264118600567646;0.42839404197793596;0.4929299454493253;0.06237335611451545;0.6907407407407408;0.6946240421455938;0.6931462056142775;0.6939926292784451;0.6946240421455938;0.032947122362657004;0.3245743414583657;0.3548312100198893;0.3174853182989496;0.3282288218172145;0.3548312100198893;0.025463399691998526
DecisionTree_SMOTE_UnderSampler;nan;nan;nan;nan;nan;nan;0.512962962962963;0.5280890281804916;0.5040761996808308;0.5191461829426491;0.5280890281804916;0.05893555718117891;0.6182795698924731;0.6469907407407408;0.6135288996235327;0.6343158871667645;0.6469907407407408;0.04809850223838298;0.4761904761904761;0.5477976361374295;0.47267882125032257;0.4627665982768398;0.5477976361374295;0.06935793133038015;0.7018518518518518;0.7041427203065135;0.7067733403721458;0.712181125409172;0.7041427203065135;0.0402286652205456;0.31740671738342907;0.3514659693904976;0.31152477385782723;0.31934904618491794;0.3514659693904976;0.05513664589737436
DecisionTree_SMOTE_ClusterCentroids;nan;nan;nan;nan;nan;nan;0.4907407407407407;0.476892624651771;0.4732074290072592;0.5047382453776479;0.476892624651771;0.07886825856983172;0.6801075268817204;0.7016376236484932;0.6662712960499128;0.6784197973449976;0.7016376236484932;0.07652496224079186;0.3904761904761904;0.482253086419753;0.38656319890198937;0.4052657970006921;0.482253086419753;0.1212583457132362;0.6722222222222222;0.6786997126436781;0.674344950895123;0.677067998403376;0.6786997126436781;0.05045488757806441;0.3009884593489624;0.33164428164428167;0.3006334211412291;0.31578536113433137;0.33164428164428167;0.0717313905992586
DecisionTree_BorderlineSmote_UnderSampler;0.22631578947368425;0.21028310314024598;0.18360538923638822;0.22211118808906338;0.21028310314024598;0.05865038164124719;0.49074074074074076;0.5117191971307825;0.48826193362298675;0.5067134385782965;0.5117191971307825;0.061177458544429866;0.6451612903225806;0.678548424200598;0.6578333160694494;0.6879528579831026;0.678548424200598;0.06329402112348584;0.42698412698412697;0.5019678916642741;0.4259928603753609;0.433973171794592;0.5019678916642741;0.09673111466283212;0.7037037037037037;0.7064176245210728;0.7063993749916287;0.7122958071725992;0.7064176245210728;0.049643028030824994;0.32152098535424106;0.35428559909691987;0.3196492083595277;0.3304253470721459;0.35428559909691987;0.04409355340787031
DecisionTree_BorderlineSmote_OneSidedSelection;0.47543859649122805;0.3409434480863052;0.3279644342313088;0.3455685216839873;0.3409434480863052;0.1269110428483253;0.42037037037037034;0.46009180690583135;0.42940507951709145;0.45651972610208014;0.46009180690583135;0.041397762411569984;0.6935483870967741;0.6497203531170922;0.648523518275329;0.6816437090816784;0.6497203531170922;0.11064369201246596;0.5968253968253968;0.6329553067279166;0.6283990752462524;0.6449243481878036;0.6329553067279166;0.048532818055603166;0.6611111111111111;0.6508620689655172;0.5544433066940573;0.5907631471525995;0.6508620689655172;0.0224323821103241;0.3552760958443306;0.3111022799702045;0.2988313692250773;0.3164754398955064;0.3111022799702045;0.05980416342869124
DecisionTree_BorderlineSmote_ClusterCentroids;0.27017543859649124;0.2654950869236583;0.21839045167334525;0.2864799440271208;0.2654950869236583;0.059551392045795244;0.47407407407407404;0.4741773148937784;0.45935183097598786;0.4697265019284309;0.4741773148937784;0.046829463815991346;0.6532258064516129;0.6715371233034276;0.6445332798782982;0.6395422469687175;0.6715371233034276;0.061586258174050695;0.446031746031746;0.5208811848023734;0.4152493687899092;0.43105949767485385;0.5208811848023734;0.0547836705413136;0.7185185185185184;0.7215636973180078;0.7176319030696737;0.7213952638662061;0.7215636973180078;0.044061788929139326;0.33470475599027066;0.36462840094915566;0.31934725075146875;0.32090471678171145;0.36462840094915566;0.04604158313835894
AdaBoost;0.7035087719298246;0.4746100460386175;0.4621597098105585;0.49915934081746743;0.4746100460386175;0.052468769802919535;0.6092592592592593;0.5002099323440787;0.5113859640303348;0.6119773505063139;0.5002099323440787;0.0992148240507862;0.6693548387096775;0.6631800667126754;0.6515201569664432;0.7497655520492263;0.6631800667126754;0.06523989799996065;0.6;0.543784094171691;0.5730215305085662;0.6974098195278192;0.543784094171691;0.07486054752109489;0.7629629629629631;0.7626915708812261;0.7620443587992319;0.7710704707577595;0.7626915708812261;0.05519122958710317;0.42578792113025926;0.33359366000875434;0.31481250363713514;0.32391360065250674;0.33359366000875434;0.026801588220629623
AdaBoost_SMOTETomek;0.6263157894736842;0.47211915069057925;0.4299763954297356;0.439683366639616;0.47211915069057925;0.09117570652600743;0.6;0.5364706753273827;0.5315869742011442;0.5724645371704196;0.5364706753273827;0.0537842521068181;0.553763440860215;0.512239044168392;0.4781360892984094;0.6261614077476126;0.512239044168392;0.10600558417930768;0.5476190476190476;0.5547899320509139;0.5793424238974317;0.6468717489171733;0.5547899320509139;0.04964751819638652;0.7592592592592592;0.7619133141762452;0.7611952631806741;0.7648486582248769;0.7619133141762452;0.038690687329645465;0.4068208870258241;0.3410968660968661;0.344685530865924;0.41671282504550816;0.3410968660968661;0.04493585675694777
AdaBoost_SMOTEENN;0.11754385964912283;0.1532501889644747;0.07695948972109073;0.08954410889092317;0.1532501889644747;0.019208738076286865;0.3111111111111111;0.40211072971743705;0.32533581117038757;0.40375189975237696;0.40211072971743705;0.07908828917945042;0.30376344086021506;0.4228943811824246;0.3213283949599147;0.49326753586846755;0.4228943811824246;0.09146369053515276;0.4000000000000001;0.5015850799119533;0.3609370096798932;0.4454197855614392;0.5015850799119533;0.09186043830439507;0.6148148148148148;0.6306273946360154;0.5360477556024282;0.6328039392729327;0.6306273946360154;0.05123814912266109;0.18480567199710188;0.30422262922262927;0.2131163191936644;0.2474214695848289;0.30422262922262927;0.058516970804333844
AdaBoost_OverSampler;0.6789473684210527;0.4982134267848553;0.4938671147161931;0.5425735679438352;0.4982134267848553;0.08634652826022382;0.6240740740740741;0.5398264895673432;0.5445079731724444;0.5919852172749805;0.5398264895673432;0.0449909264851458;0.49731182795698925;0.4721201403266621;0.44296963878441525;0.529188899999517;0.4721201403266621;0.10468724467949761;0.580952380952381;0.5302481098669729;0.5616053460866867;0.6611914398726666;0.5302481098669729;0.05504689643081913;0.75;0.7528735632183907;0.7532642467450148;0.7609188796280298;0.7528735632183907;0.04158829678064343;0.46988045334575373;0.35149995008485574;0.3367392307907286;0.37969902926451865;0.35149995008485574;0.07006777142583602
AdaBoost_SMOTE;nan;nan;nan;nan;nan;nan;0.5907407407407408;0.5409838772338772;0.5460071964066536;0.5874428053832957;0.5409838772338772;0.03612139152581592;0.5322580645161291;0.48016304347826094;0.48221903110183334;0.6249907549440902;0.48016304347826094;0.10720510081190897;0.5698412698412697;0.5417204995693368;0.5734845717182703;0.6740178713287955;0.5417204995693368;0.07186628601947488;0.7833333333333332;0.7853807471264368;0.7832923809239363;0.7901656033052834;0.7853807471264368;0.03380157102328552;0.4008694302126999;0.3167104384085516;0.3175405174720331;0.3632816441732494;0.3167104384085516;0.057041565365702596
AdaBoost_BorderlineSmote;0.5754385964912281;0.47485054627911766;0.45691190045065205;0.5662599107719261;0.47485054627911766;0.11259033667939365;0.6462962962962963;0.5725864294919173;0.5779098868476441;0.6189881326788637;0.5725864294919173;0.029857571331961524;0.489247311827957;0.4685314584771107;0.44939233300054804;0.5552991138854075;0.4685314584771107;0.12985566751158054;0.5746031746031747;0.5674167384438703;0.6029625869350802;0.691452539780625;0.5674167384438703;0.033212128026338425;0.7462962962962963;0.7501197318007663;0.7480142076950774;0.7579122182593633;0.7501197318007663;0.010616970160447511;0.4404595559695699;0.39372701023644413;0.3993336580287044;0.47515254981336547;0.39372701023644413;0.05147287865096869
AdaBoost_SVMSMOTE;nan;nan;nan;nan;nan;nan;0.6166666666666667;0.5397239752117801;0.5448157677001916;0.597692780614505;0.5397239752117801;0.04970303794007499;0.5618279569892474;0.5084239130434782;0.45273088696896996;0.4968147593147593;0.5084239130434782;0.18021437550932023;0.580952380952381;0.5512907933773566;0.5875363159008046;0.7019772715774714;0.5512907933773566;0.0776503581460581;0.7425925925925926;0.7462883141762452;0.7465723341201493;0.7520572895748745;0.7462883141762452;0.03609759098851713;0.4244941261708844;0.34137370316615595;0.3401478973361418;0.3740498238712175;0.34137370316615595;0.038879859171974084
AdaBoost_OverSampler_UnderSampler;0.23157894736842102;0.2681749467463753;0.2011993785746021;0.31515657109365647;0.2681749467463753;0.05257111181006813;0.2740740740740741;0.3872917377338109;0.28580727178400617;0.41230924305525063;0.3872917377338109;0.12254969437905706;0.43548387096774194;0.3843138946399816;0.38316982876080524;0.507121861071343;0.3843138946399816;0.09686324885770331;0.47460317460317464;0.5154859316681022;0.4633091702617851;0.4650612542054153;0.5154859316681022;0.07338827118475028;0.7333333333333334;0.7354525862068965;0.7372265978772398;0.7417580908241828;0.7354525862068965;0.030132059501975922;0.28335403405268333;0.2837386059084172;0.271339634137058;0.33728745233416196;0.2837386059084172;0.0703305631165501
AdaBoost_OverSampler_OneSidedSelection;0.5280701754385965;0.3602178245035388;0.3443239504099813;0.4513855996679739;0.3602178245035388;0.11943165853291526;0.4611111111111111;0.46765455919419335;0.42486158397036;0.5028150330656933;0.46765455919419335;0.1340407483902046;0.37365591397849457;0.30143058431101905;0.26132317825536616;0.40995330537370184;0.30143058431101905;0.09966312528669438;0.5619047619047618;0.5055447889750214;0.5267519519430294;0.6615559091154603;0.5055447889750214;0.055170049647091025;0.6685185185185186;0.6576269157088123;0.5543149899706191;0.5483753446664068;0.6576269157088123;0.015157411481028438;0.44639807483310046;0.3453283264604019;0.3213779503875564;0.342779896860482;0.3453283264604019;0.04125832357489358
AdaBoost_OverSampler_ClusterCentroids;0.443859649122807;0.3706280491994778;0.3785264219158934;0.44308836884024855;0.3706280491994778;0.044214825949269454;0.3148148148148148;0.41194564074137247;0.3505024515959618;0.5473523988730024;0.41194564074137247;0.075949002712176;0.43817204301075274;0.39483192431562003;0.36328904215142827;0.48350412622374694;0.39483192431562003;0.18693505129468976;0.4841269841269842;0.501016843717102;0.44984578839011463;0.45521924758266025;0.501016843717102;0.1016967388542742;0.7462962962962963;0.7486829501915709;0.7491878729065921;0.755784053962972;0.7486829501915709;0.04807655820317048;0.3390389691041764;0.3645592876724952;0.34231367900843473;0.3702364677910224;0.3645592876724952;0.0621175468422809
AdaBoost_SMOTE_UnderSampler;nan;nan;nan;nan;nan;nan;0.2740740740740741;0.37035060975609757;0.3092854555323468;0.501265963865766;0.37035060975609757;0.0647090771872869;0.4112903225806452;0.38160297331492976;0.36568318355653834;0.4481113195542042;0.38160297331492976;0.08881259824227984;0.45555555555555555;0.5041929849746387;0.437562707894734;0.4518145324288663;0.5041929849746387;0.062975517676154;0.725925925925926;0.7292265325670497;0.728202812212848;0.7375213348914564;0.7292265325670497;0.041594153820273455;0.28634270040883925;0.355384884158469;0.30660421923152403;0.3581607429856955;0.355384884158469;0.04340176277004957
AdaBoost_SMOTE_ClusterCentroids;nan;nan;nan;nan;nan;nan;0.3092592592592593;0.4390542147554342;0.35377027937119315;0.5035594596331084;0.4390542147554342;0.11357486071522419;0.45967741935483875;0.42733134920634924;0.4066329964071782;0.5200643567012889;0.42733134920634924;0.06378863474858304;0.5158730158730158;0.5623385012919897;0.49423374322675856;0.4835498847146376;0.5623385012919897;0.05270792137150864;0.7666666666666666;0.7719109195402298;0.7696304408511464;0.7809149211702898;0.7719109195402298;0.03652463391911324;0.34822491331573774;0.3415019466906259;0.32400522615829097;0.3809013006994859;0.3415019466906259;0.05255733736519503
AdaBoost_BorderlineSmote_UnderSampler;0.18421052631578946;0.18850065278636705;0.16579571675424354;0.22675164260823985;0.18850065278636705;0.05115201086130022;0.2814814814814815;0.4086885269202343;0.33188781696017683;0.4315211010601226;0.4086885269202343;0.05281236611433663;0.45161290322580644;0.44944933287324584;0.4347523010428586;0.5849902561040959;0.44944933287324584;0.15749498433777667;0.4428571428571429;0.5113407981625037;0.43030740764006326;0.4578746652349866;0.5113407981625037;0.07656045102403862;0.7814814814814816;0.7836446360153256;0.7831124028567061;0.7880719999135773;0.7836446360153256;0.01835899847188671;0.3363478755886767;0.371224495281099;0.32799152449236896;0.3412955619477875;0.371224495281099;0.023223969346358554
AdaBoost_BorderlineSmote_OneSidedSelection;0.5368421052631579;0.38455988455988455;0.3542351312359391;0.395253714719205;0.38455988455988455;0.12662667513234033;0.3240740740740741;0.3394517406712529;0.25580194413949564;0.28450959620956945;0.3394517406712529;0.07879347305265062;0.4811827956989247;0.38892267655854607;0.32861837556901546;0.37475629218276274;0.38892267655854607;0.15914385932789218;0.5476190476190477;0.5232318882189683;0.5402477831264386;0.6507209819402676;0.5232318882189683;0.06214296575001542;0.6777777777777779;0.6666666666666666;0.5613447868283272;0.5530651203631215;0.6666666666666666;0.009480451809547643;0.430225637840915;0.3435123751161487;0.3302158598908351;0.3835435410313797;0.3435123751161487;0.08385534721169671
